what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1414347856211
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1414347856212
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1414347856212
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1414347856212
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1414347856213
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1414347856214
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1414347856214
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1414347856214
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1414347856215
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1414347856215
os,sysinfo,,,"linux",1414347856217
arch,sysinfo,,,"x86",1414347856217
ws,sysinfo,,,"gtk",1414347856217
locale,sysinfo,,,"es_ES",1414347856217
processors,sysinfo,,,"4",1414347856217
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1414347856217
java.runtime.version,sysinfo,,,"1.6.0_31-b31",1414347856217
java.specification.name,sysinfo,,,"Java Platform API Specification",1414347856217
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1414347856217
java.specification.version,sysinfo,,,"1.6",1414347856217
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1414347856217
java.version,sysinfo,,,"1.6.0_31",1414347856217
java.vm.info,sysinfo,,,"mixed mode, sharing",1414347856217
java.vm.name,sysinfo,,,"OpenJDK Client VM",1414347856217
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1414347856217
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1414347856217
java.vm.specification.version,sysinfo,,,"1.0",1414347856217
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1414347856217
java.vm.version,sysinfo,,,"23.25-b01",1414347856217
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1414347856980
opened,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1414347857937
activated,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1414347857969
activated,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1414347860678
opened,view,org.eclipse.ui.console,3.5.100.dist,"org.eclipse.ui.console.ConsoleView",1414347862369
activated,view,org.eclipse.ui.console,3.5.100.dist,"org.eclipse.ui.console.ConsoleView",1414347862428
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1414347862495
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1414347862495
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1414347862496
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1414347862513
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1414347862520
opened,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1414347872047
activated,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1414347872093
opened,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1414347885209
activated,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1414347885244
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1414347892467
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1414347892508
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.saveAll",1414347892603
activated,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1414347896064
